Product ID,Product Name,Category,Sub-Category,Expiration Date,Stock Level,Sales Velocity,Purchase Date,Price,Shelf Life,Product Weight/Volume,Additional Feature 1,Additional Feature 2
PID100000,Three Image,Ready-to-Eat Meals,Fresh Pasta,2024-10-21,6,2.959709128,2023-12-12,26.05,314,4.11,Fresh Pasta,Vegan
PID100001,Kitchen Amount,Eggs,Grade,2024-04-10,75,8.970776268,2023-07-18,11.7,267,1.48,Large,A
PID100002,Mention Interview,Deli,Pre-made Salads,2024-12-22,91,8.197063742,2023-11-01,45.21,417,3.17,Pre-made Salads,Soft
PID100003,Themselves Floor,Fresh Juices,Smoothies,2024-07-04,72,1.456661477,2023-05-20,22.27,411,6.15,Smoothies,None
PID100004,Past Wait,Eggs,Grade,2024-12-18,67,2.974676949,2023-03-26,40.45,633,5.53,Large,A
PID100005,Mother Chair,Ready-to-Eat Meals,Pre-made Salads,2024-04-19,86,6.440025378,2023-02-24,30.98,420,8.3,Pre-made Salads,Vegan
PID100006,Someone Beyond,Bakery Items,Cakes,2024-08-28,42,7.184604189,2023-11-07,4.09,295,9.18,Cakes,Cream
PID100007,Enough Where,Bakery Items,Bread,2024-07-25,70,4.755710929,2023-10-01,4.94,298,3.27,Bread,Fruit
PID100008,Take Play,Dairy Products,Soft Cheeses,2024-12-16,71,3.265361389,2023-02-27,7.12,658,3.39,27.66749193,Whole
PID100009,Force Bit,Deli,Cheese,2024-10-10,12,6.164725185,2023-01-29,19.86,620,5.8,Sausages,Soft
PID100010,Way To,Bakery Items,Bread,2024-09-22,5,6.321345209,2023-05-09,33.18,502,4.82,Bread,None
PID100011,Marriage Opportunity,Meat and Seafood,Pork,2024-02-09,5,8.50337212,2023-05-18,45.01,267,9.24,Whole,N/A
PID100012,Leader Four,Deli,Pre-made Salads,2024-08-25,31,8.570116669,2023-09-06,44.86,354,5.94,Sausages,Hard
PID100013,While Democratic,Deli,Cheese,2024-08-02,64,6.772331097,2023-07-05,49.82,394,9.18,Sausages,Soft
PID100014,Level Tree,Fresh Juices,Freshly Squeezed Juices,2024-07-21,63,6.077209666,2023-04-12,17.43,466,1.98,Freshly Squeezed Juices,None
PID100015,Assume Support,Deli,Prepared Meats,2024-12-22,91,2.5943751,2023-08-02,39.93,508,3.39,Deli Meats,Soft
PID100016,Whole Address,Meat and Seafood,Pork,2024-02-06,6,8.262642879,2023-10-07,32.08,122,9.37,Steak,Fish
PID100017,Though Inside,Dairy Products,Yogurt,2024-10-02,78,8.385818247,2023-11-17,6.87,320,1.01,25.01533292,Whole
PID100018,Still Relate,Fresh Produce,Fruits,2024-08-30,25,9.629797162,2023-01-01,10.06,607,1.33,Unripe,7.271552295
PID100019,Population Minute,Fresh Produce,Fruits,2024-11-17,70,4.543378904,2023-12-03,5.97,350,2.67,Unripe,0.7197168951
PID100020,Goal Either,Deli,Cheese,2024-10-10,56,2.213020065,2023-05-07,25.68,522,0.49,Deli Meats,Hard
