Product ID,Product Name,Category,Sub-Category,Expiration Date,Stock Level,Sales Velocity,Purchase Date,Price,Shelf Life,Product Weight/Volume,Additional Feature 1,Additional Feature 2,Likely to be Sold,Price_per_Weight,Days_to_Expiration
PID100000,Three Image,7,7,2024-10-21,0.050505050505050504,0.25886316253080394,2023-12-12,0.5111292628139679,314,4.11,Fresh Pasta,Vegan,0,0.12436235104962721,314
PID100001,Kitchen Amount,3,10,2024-04-10,0.7474747474747476,0.8918772328797987,2023-07-18,0.21809270982234022,267,1.48,Large,A,0,0.1473599390691488,267
PID100002,Mention Interview,2,14,2024-12-22,0.9090909090909092,0.810399035394614,2023-11-01,0.9023892178885033,417,3.17,Pre-made Salads,Soft,0,0.28466536841908624,417
PID100003,Themselves Floor,4,19,2024-07-04,0.7171717171717172,0.1005800674776728,2023-05-20,0.4339391464161732,411,6.15,Smoothies,,0,0.07055921079937776,411
PID100004,Past Wait,3,10,2024-12-18,0.6666666666666667,0.26043939534209937,2023-03-26,0.8051868490912806,633,5.53,Large,A,0,0.14560340851560227,633
PID100005,Mother Chair,7,14,2024-04-19,0.8585858585858587,0.6253686605090495,2023-02-24,0.6118031447825201,420,8.3,Pre-made Salads,Vegan,0,0.07371122226295422,420
PID100006,Someone Beyond,0,2,2024-08-28,0.41414141414141414,0.7037788416791162,2023-11-07,0.06269144374106596,295,9.18,Cakes,Cream,0,0.006829133305127011,295
PID100007,Enough Where,0,1,2024-07-25,0.6969696969696971,0.4479967030049688,2023-10-01,0.0800490095977129,298,3.27,Bread,Fruit,0,0.024479819448841863,298
PID100008,Take Play,1,20,2024-12-16,0.7070707070707072,0.2910508219556209,2023-02-27,0.12456606085358385,658,3.39,27.667491929296464,Whole,0,0.03674515069427252,658
PID100009,Force Bit,2,3,2024-10-10,0.11111111111111112,0.5963773197532232,2023-01-29,0.3847253420461507,620,5.8,Sausages,Soft,1,0.0663319555251984,620
PID100010,Way To,0,1,2024-09-22,0.04040404040404041,0.6128706771539497,2023-05-09,0.656728609352665,502,4.82,Bread,,1,0.13625074882835372,502
PID100011,Marriage Opportunity,6,13,2024-02-09,0.04040404040404041,0.8426557892323717,2023-05-18,0.8983050847457628,267,9.24,Whole,,1,0.09721916501577518,267
PID100012,Leader Four,2,14,2024-08-25,0.30303030303030304,0.849684531039143,2023-09-06,0.8952419848887075,354,5.94,Sausages,Hard,0,0.15071413887015278,354
PID100013,While Democratic,2,3,2024-08-02,0.6363636363636365,0.6603631449739529,2023-07-05,0.9965284868286707,394,9.18,Sausages,Soft,0,0.10855430139745868,394
PID100014,Level Tree,4,8,2024-07-21,0.6262626262626264,0.5871612265937229,2023-04-12,0.33510312436185424,466,1.98,Freshly Squeezed Juices,,0,0.16924400220295668,466
PID100015,Assume Support,2,16,2024-12-22,0.9090909090909092,0.22039052956840344,2023-08-02,0.7945681029201553,508,3.39,Deli Meats,Soft,0,0.2343858710678924,508
PID100016,Whole Address,6,13,2024-02-06,0.050505050505050504,0.8173050497992973,2023-10-07,0.6342658770675925,122,9.37,Steak,Fish,1,0.06769112882258192,122
PID100017,Though Inside,1,22,2024-10-02,0.7777777777777779,0.8302764139770011,2023-11-17,0.11946089442515828,320,1.01,25.01533291798457,Whole,0,0.11827811329223592,320
PID100018,Still Relate,5,9,2024-08-30,0.24242424242424243,0.9612774722701669,2023-01-01,0.1846028180518685,607,1.33,Unripe,7.271552294548346,0,0.13879911131719436,607
PID100019,Population Minute,5,9,2024-11-17,0.6969696969696971,0.4256364205061839,2023-12-03,0.10108229528282622,350,2.67,Unripe,0.7197168951426236,0,0.03785853755911094,350
PID100020,Goal Either,2,3,2024-10-10,0.5555555555555557,0.1802307546463524,2023-05-07,0.503573616499898,522,0.49,Deli Meats,Hard,0,1.0277012581630571,522
PID100021,Score Truth,7,15,2024-01-25,0.33333333333333337,0.35854425593091543,2023-03-16,0.7316724525219523,315,8.4,Pre-packaged Meals,,0,0.08710386339547051,315
PID100022,Whose Out,6,13,2024-03-27,0.98989898989899,0.05791159297689731,2023-04-03,0.6761282417806822,359,8.47,Fillet,,0,0.07982623869901796,359
PID100023,Suggest Change,2,16,2024-11-07,0.7676767676767677,0.9216476730958847,2023-07-30,0.665509495609557,466,0.23,Pre-made Salads,Semi-Soft,0,2.8935195461285086,466
PID100024,Line Benefit,2,14,2024-02-01,0.4545454545454546,0.38864404358441534,2023-05-05,0.6575454359812131,272,1.62,Pre-made Salads,Soft,0,0.40589224443284755,272
PID100025,Type Movie,3,18,2024-12-28,0.42424242424242425,0.7391675148694238,2023-07-10,0.5442107412701656,537,1.43,Medium,AA,0,0.3805669519371787,537
PID100026,Boy Fish,2,14,2024-08-02,0.4545454545454546,0.5903655787696276,2023-04-24,0.8921788850316522,466,8.55,Deli Meats,Hard,0,0.10434840760604118,466
PID100027,Seat Capital,2,3,2024-07-31,0.9595959595959597,0.41443079442505787,2023-05-10,0.6508066162956914,448,0.12,Deli Meats,Hard,0,5.423388469130762,448
PID100028,Teacher Win,4,8,2024-07-28,0.30303030303030304,0.2230289395926801,2023-03-20,0.44802940575862776,496,7.13,Freshly Squeezed Juices,Preservatives,0,0.0628372238090642,496
PID100029,Successful Player,7,15,2024-07-31,0.5151515151515152,0.8718962378243257,2023-08-17,0.5674903001837861,349,7.74,Pre-packaged Meals,,0,0.07331916023046332,349
PID100030,Field Light,5,9,2024-02-05,0.5757575757575758,0.06374944977061081,2023-08-20,0.7014498672656729,169,4.52,Ripe,9.080398571595916,0,0.15518802373134358,169
PID100031,Success Image,5,9,2024-05-03,0.6363636363636365,0.3259189350862409,2023-08-12,0.837859914233204,265,0.59,Ripe,1.88001294050828,0,1.4201015495478035,265
PID100032,Effort Fill,1,22,2024-03-12,0.010101010101010102,0.40182424807723827,2023-03-15,0.6785787216663265,363,3.23,6.405739861940884,2%,0,0.2100862915375624,363
PID100033,Term Culture,5,9,2024-01-13,0.24242424242424243,0.11879052614210113,2023-08-26,0.6491729630385952,140,8.75,Ripe,6.885400040337084,0,0.07419119577583945,140
PID100034,Realize Ever,6,0,2024-07-04,0.6060606060606062,0.854138576369226,2023-01-27,0.3965693281600981,524,0.91,Fillet,Shellfish,0,0.43579047050560227,524
