Date,Temperature,Precipitation,Weather_Conditions,Humidity,Event_Location,Event_Date,Event_Type,Promotion_Type,Promotion_Start_Date,Promotion_End_Date,Promotion_Discount,Promotion_Items,Receipt_ID,Item_Sold,Quantity_Sold,Total_Sales_Amount,Item_ID,Item_Name,Current_Stock_Level,Reorder_Point,Lead_Time,Expiration_Date
2024-05-05,34.6,8.5,Cloudy,28,,,,,,,,,71421ae0-d827-427c-8b87-4316f3b9f9b9,Eggs,2,149.13,79238302-ca94-42f6-aa95-cfd12b5c13ec,Eggs,137,38,8,2024-05-06
2024-01-19,17.5,11.5,Rainy,32,,,,,,,,,03384b2e-be84-43a9-9c43-ca5aa251e1e9,Beef,7,450.65,4cca6a4b-9e52-43ce-845d-c62d98ba9218,Beef,69,10,13,2024-02-28
2024-03-03,12.9,18.5,Snowy,72,,,,,,,,,35a25488-caab-4b25-8cb8-9289f5e44e11,Eggs,4,101.55,3aea22b7-12ab-4a14-8068-44e9430487d2,Eggs,331,88,5,2024-03-24
2024-02-27,15.3,15.6,Cloudy,20,,,,,,,,,605be02f-74fe-48e0-8ac7-2346b387110f,Beef,9,285.92,ad02f79f-9d63-4b02-84bf-c4cdeb5dc87c,Beef,398,99,5,2024-08-15
2024-07-15,34.2,19.5,Sunny,95,Lake Marilynstad,2024-03-23,Parade,,,,,,361a1cd3-9d14-4f35-b7e4-b9b49d2c40ce,Chicken,5,199.17,c1a0943b-26c4-40aa-9a16-7f831e3035b8,Chicken,65,84,11,2025-02-28
2024-02-09,22.8,14.4,Rainy,26,West Heidiberg,2024-04-09,Concert,,,,,,b0549912-c832-40f1-9eaa-1043d83d3397,Cheese,2,61.93,dca0acf7-8505-4c5f-ab8b-5c4b377bf5a7,Cheese,294,47,5,2024-06-02
2024-06-16,16.0,3.7,Snowy,53,,,,Discount,2024-07-03,2024-07-08,6.1,Milk,5f905de3-86d0-4df9-89b5-b951fe1dab7f,Beef,1,94.34,10f37d09-eca7-4c63-bbba-db2296a84b44,Beef,233,41,2,2025-06-27
2024-04-03,16.4,16.5,Sunny,82,,,,,,,,,98c63d3a-fe60-4721-a32f-94293afe63af,Apples,7,406.84,960a1cf6-1397-4657-8ad4-282b353463e1,Apples,122,30,6,2024-05-07
2024-03-22,24.5,16.6,Rainy,96,,,,,,,,,76cf4113-076f-44bd-80d7-7753cc16c7fd,Chicken,10,111.01,1008642f-efa7-4786-8d11-7ddbdeb8410a,Chicken,50,35,7,2024-08-02
2024-01-11,23.6,11.6,Snowy,59,Stevenshire,2024-07-05,Concert,Flash Sale,2024-07-13,2024-07-22,22.1,Eggs,0a48b468-6937-4dc8-b92e-026bdf4db026,Beef,5,307.04,7d5c44be-1eca-49ce-8855-c0ee78af797f,Beef,198,53,3,2024-03-15
2024-03-24,12.8,16.3,Sunny,54,,,,Buy-One-Get-One,2024-01-17,2024-04-30,40.4,Bananas,1dfb81c1-f6f4-4c15-8d7f-9a3a1f8fbdb0,Bananas,6,113.5,7b701cb8-b26a-479e-bb66-0c71a862bd72,Bananas,342,30,8,2025-01-27
2024-05-27,30.6,9.0,Rainy,54,West Joseshire,2024-07-09,Concert,Flash Sale,2024-04-14,2024-06-28,25.2,Chicken,34e1dd34-c6e9-48b2-8e28-198dff230f16,Milk,4,308.29,80ebd951-c27e-401c-bd30-246ec8f4305d,Milk,447,95,12,2024-09-07
2024-06-25,27.7,11.4,Cloudy,79,Kristenborough,2024-07-10,Sports,,,,,,13363eb0-b675-45cb-8741-b4d29ed9be78,Apples,3,162.79,6d7a3f8c-b87d-490f-878b-c2caf94941a6,Apples,270,43,14,2024-07-08
2024-07-09,34.0,11.2,Snowy,30,,,,,,,,,5f985050-0bee-4248-a890-055ffb804b50,Cheese,1,60.83,347684fc-be80-4696-afe0-0bcd242cfc63,Cheese,107,20,6,2024-09-15
2024-05-23,17.2,13.8,Snowy,46,Bonnieburgh,2024-07-18,Parade,,,,,,b5db7f5d-d2ec-4d81-8cae-49b94eef3886,Bread,3,247.07,510185b8-25f2-40a9-bee5-c3d6383068b0,Bread,344,41,9,2024-09-12
2024-07-01,17.3,2.6,Snowy,50,East Anitahaven,2024-04-08,Sports,,,,,,6f4eb30c-666c-4284-8bbb-695936e4bb93,Apples,2,117.12,0c466ff2-0b91-4c7f-bca0-c3acbd29553a,Apples,136,56,13,2024-09-21
2024-01-22,21.8,12.8,Cloudy,54,,,,Discount,2024-05-19,2024-06-02,36.5,Chicken,0e07deb2-0da2-4d8f-a6ec-b5bf815aaf7c,Chicken,2,46.78,021b3ace-8b8d-4f0b-a59f-b86349fc7347,Chicken,375,68,6,2024-09-08
2024-01-15,14.5,12.2,Snowy,66,Sanchezton,2024-01-03,Sports,Flash Sale,2024-01-15,2024-02-23,20.2,Apples,b43949b4-ebbd-45f0-a3e1-4a36ea248277,Chicken,5,194.9,3a52ba8d-a188-4c87-9941-1123704ef0e5,Chicken,322,65,3,2024-09-21
2024-04-23,28.0,4.4,Cloudy,57,,,,Discount,2024-05-20,2024-07-11,44.4,Cheese,51e4b29b-1251-4e13-8d6b-90f719383d65,Bananas,5,271.77,bbf182cc-d2a4-4b1d-b803-c55606ccfa55,Bananas,439,68,4,2024-12-13
2024-04-06,10.9,0.8,Snowy,53,North Dillonport,2024-05-09,Sports,,,,,,255afc3d-1a63-476d-92d6-69deaf786cd6,Cheese,9,410.95,7176edc8-0e5f-4b10-8db5-6547d9ab7e3a,Cheese,78,22,12,2025-03-25
2024-04-18,33.1,4.0,Cloudy,60,Lake Wendy,2024-02-07,Concert,,,,,,7c1a14a7-2ae0-45c8-ba6f-6178418cdcb3,Apples,9,590.6,6f90d492-c63f-4dcf-85b6-f6c4d1281d4b,Apples,313,57,8,2024-08-13
2024-03-05,17.2,14.0,Cloudy,84,,,,,,,,,d1a23c62-c1dd-4a99-967a-d2046da6ad96,Cheese,7,196.72,1ad7d866-14e0-4078-912a-95ae1f8f4868,Cheese,194,76,8,2024-09-14
2024-01-15,18.3,16.5,Snowy,91,,,,,,,,,8b608831-f213-4806-8b17-74782132ff5f,Cheese,7,215.14,ef459a9e-c8fa-4b20-b501-26752f53397c,Cheese,317,16,8,2024-01-27
2024-03-20,17.1,9.7,Sunny,89,Reynoldston,2024-02-08,Concert,,,,,,d79f07f5-7b9f-4e8e-ade9-51ea88713b2a,Beef,7,204.67,878c6d72-0be0-4480-aea1-002e5e760f2b,Beef,202,17,12,2024-03-27
2024-02-17,12.9,9.7,Sunny,29,West Ashleyville,2024-04-08,Festival,Seasonal Offer,2024-05-11,2024-05-16,17.8,Apples,01f85e3b-8682-47ca-a743-40e8be0eeec9,Bananas,8,722.52,b5b36160-02b9-41cf-9a30-ce0b75c97d00,Bananas,276,66,7,2024-09-13
2024-01-23,34.8,0.8,Cloudy,41,,,,Flash Sale,2024-07-18,2024-07-23,48.2,Bananas,626ad1ed-f487-479a-a15c-d668d53ace99,Bread,4,250.34,639267d2-2e66-4b37-be85-4296fc7670b1,Bread,363,88,8,2024-09-05
2024-02-01,11.7,4.4,Rainy,53,,,,Seasonal Offer,2024-04-07,2024-04-23,44.8,Bread,29b73691-2653-46bb-8716-eba20a6ba5c7,Beef,4,176.12,895fa867-241a-4652-b436-dddcac203f1f,Beef,241,56,1,2024-03-25
2024-07-18,32.7,3.2,Snowy,93,,,,,,,,,a6e6c136-feaa-453c-a190-d61536542851,Beef,3,102.92,bb647877-a369-4694-8ca2-341662285e8e,Beef,215,46,2,2025-03-07
2024-07-15,24.4,2.7,Sunny,45,,,,,,,,,195fe670-7854-42ec-a8b6-af7926c05cb2,Beef,1,71.8,cdbaff89-cc13-4f33-aebc-40e0d39b5335,Beef,160,41,7,2024-07-15
2024-01-10,25.5,5.2,Snowy,92,Sandraland,2024-01-23,Concert,Discount,2024-03-20,2024-05-04,21.6,Eggs,72b72a16-c62e-4365-9561-ce3e9f819f50,Bread,8,303.33,55aab447-125d-4889-a887-85a38518568e,Bread,59,36,12,2024-03-10
2024-06-24,33.8,5.0,Rainy,54,North Amy,2024-06-08,Sports,,,,,,47b613e7-3238-4b92-9802-29af2c1c4647,Bananas,3,299.06,518464f2-5fbd-483b-983a-71f4c72de495,Bananas,65,49,11,2024-07-20
2024-05-05,13.7,7.6,Rainy,29,,,,Discount,2024-04-16,2024-04-25,35.7,Beef,7212281d-9d2e-436a-a699-bce7aa28c3de,Bread,7,23.68,1f2f51b1-6d9a-492c-a77c-955012700f9a,Bread,312,40,2,2024-10-06
2024-06-14,24.3,10.0,Cloudy,52,,,,Flash Sale,2024-01-15,2024-01-23,16.5,Eggs,e4c3fd83-e6b5-4a3d-80b7-d3dd665aac35,Milk,10,493.76,df560fa2-67b8-4812-8ed1-bacc0b3879aa,Milk,323,25,11,2024-07-15
2024-02-29,25.2,1.9,Rainy,25,Paulborough,2024-02-14,Concert,,,,,,5ad948c3-79bd-46f5-a52d-0951b40fe344,Cheese,1,67.79,a429e928-26fa-49bb-a92c-a26b5588bbdb,Cheese,398,93,13,2024-06-15
2024-02-14,15.0,18.5,Rainy,58,,,,Seasonal Offer,2024-07-16,2024-07-18,28.6,Apples,f437f550-d0c6-4aeb-9eac-b4d9c43d7a6f,Bread,5,264.02,20275c30-0aa2-4682-a05a-8156c8edc5bc,Bread,386,11,5,2024-10-07
2024-01-01,27.9,11.7,Rainy,59,,,,,,,,,6cbadf72-c8f5-4cbd-8d94-6580fafb101e,Cheese,6,60.4,723f50b8-71be-4bf9-8ce2-d4eabebb3e22,Cheese,216,51,3,2024-04-16
2024-06-13,25.0,11.9,Snowy,77,,,,,,,,,b3948532-8f67-45db-be5b-829bfa2eebf5,Eggs,8,79.06,5f98b6f8-fce2-4434-bcf0-94ef5c3a28cd,Eggs,133,84,12,2025-03-03
2024-02-07,33.0,2.0,Snowy,49,,,,,,,,,baf56217-dbc3-423e-adaa-5ed96993cce3,Chicken,3,275.18,2e44ddf9-f201-460b-b662-fda284780b63,Chicken,378,26,1,2024-06-07
2024-04-14,15.7,9.1,Rainy,67,South Jason,2024-03-23,Parade,,,,,,f70e1f0d-9d7e-480f-949b-6895e30405d5,Bread,6,182.06,3b254889-bd28-43a2-932a-2f2fde43b949,Bread,432,16,12,2024-10-24
2024-02-18,13.2,15.3,Rainy,45,,,,,,,,,79acc673-6f69-4af7-b67a-ae5534090572,Apples,1,38.11,c82df39f-d5b4-41e2-8cd4-d54619701084,Apples,72,52,7,2024-02-22
2024-03-22,34.7,6.1,Cloudy,37,,,,,,,,,8af4a80c-f670-4209-925c-741c0af37504,Beef,2,160.13,9145ca1c-f902-42e0-967e-e5eba50b6c33,Beef,203,30,10,2025-01-08
2024-03-10,29.6,15.3,Rainy,69,,,,,,,,,8a0f93b1-fd46-48b8-9a8c-94900353d104,Beef,7,476.12,264b2fb3-d1dd-4123-9735-401211bcf424,Beef,278,85,3,2024-04-05
2024-02-15,27.1,2.2,Rainy,80,,,,Flash Sale,2024-03-27,2024-05-20,17.3,Eggs,884abc38-6b15-4d32-842d-2cab0beb658b,Apples,5,160.67,5240c577-df44-49b2-9481-53e0736acdb3,Apples,474,40,14,2024-02-27
2024-01-18,34.0,1.2,Cloudy,65,,,,Flash Sale,2024-06-26,2024-06-28,6.5,Cheese,a3f1a132-c618-4ebf-8ba1-d47621c4ca4a,Cheese,5,57.14,bcd3da26-5b07-417b-9b02-a7aab43523bb,Cheese,248,62,14,2024-09-17
2024-03-13,29.1,15.5,Cloudy,38,,,,Flash Sale,2024-05-21,2024-07-03,19.6,Apples,db889ebc-e719-443c-9810-c8bd451eb162,Eggs,6,150.79,352faebf-7afe-4d93-b173-02e1881277c8,Eggs,279,75,13,2024-03-22
2024-03-05,13.4,12.7,Rainy,45,,,,,,,,,acacbab2-e120-4ce3-87ec-83b3e9a13de6,Bread,5,270.16,2c1b677a-15f0-423b-bfbe-d527cb42a18e,Bread,374,49,9,2024-03-24
2024-05-14,28.1,2.7,Sunny,36,Stephaniemouth,2024-03-24,Concert,,,,,,08fd6566-516a-4f72-bf7d-45a0dfd79e32,Cheese,9,154.75,2225ebe4-2bfd-4faa-86f6-6c8db8497452,Cheese,200,36,6,2024-10-06
2024-02-11,18.6,8.8,Rainy,95,,,,,,,,,e49c728d-e37f-4de3-a4c6-a6ef6f126440,Eggs,5,80.64,a3f4c7cb-23ce-48e4-845f-74778da2cfa6,Eggs,292,60,11,2024-05-02
2024-05-20,34.0,10.5,Snowy,90,Mooreside,2024-02-09,Sports,,,,,,65de65c5-160f-4004-9e4d-87cfcd8f7543,Bread,4,9.39,1c0d7c42-4afa-4b12-83f5-9504efb7c4fc,Bread,219,23,6,2024-06-19
2024-01-17,28.7,6.5,Rainy,45,North Chelsea,2024-02-27,Festival,Buy-One-Get-One,2024-06-11,2024-06-13,13.1,Bread,03a34beb-b678-4900-8435-7771af9fc6c7,Cheese,1,57.73,02343115-c162-4439-8f4f-2b80478cb4ec,Cheese,132,29,6,2024-05-05
2024-04-19,34.4,4.6,Snowy,43,Hooverside,2024-04-01,Festival,Seasonal Offer,2024-07-16,2024-07-20,9.5,Milk,169b3c11-7c51-41cd-a335-9b8dceb9ae94,Beef,1,45.42,baef2162-55ef-43b8-84f8-ce86e7eda068,Beef,81,21,3,2024-05-18
2024-06-04,28.6,6.3,Snowy,57,,,,Seasonal Offer,2024-03-21,2024-03-30,18.7,Eggs,b5df90ae-4046-429b-bc1b-e6e8851fc246,Apples,8,482.62,4e28e5fd-ad33-4230-bba5-098d1ba456a0,Apples,362,77,2,2024-11-05
2024-02-12,28.7,10.3,Sunny,69,,,,,,,,,49b6ce0b-3d14-4a4c-9e91-c44bbe76bd06,Chicken,9,144.42,3e2175d8-f125-4b3a-9988-1e1236d449f2,Chicken,365,41,7,2024-05-04
2024-07-22,17.3,1.7,Snowy,44,,,,,,,,,05c88a41-e872-49e6-962c-eb889f8e030d,Cheese,8,466.01,b68c2297-1f46-4623-9134-8889301875ad,Cheese,245,20,12,2024-12-03
2024-07-14,20.5,11.8,Snowy,74,,,,Buy-One-Get-One,2024-06-07,2024-07-19,36.7,Eggs,c2854e9b-adea-4206-80b4-c5f0f3d55078,Bread,9,69.88,db4fa602-baef-44ec-8f8d-002ccbbaa401,Bread,149,33,10,2024-08-12
2024-04-11,20.0,17.4,Rainy,87,,,,,,,,,ec28dd61-eaf1-415a-b2b6-6f2453b4f514,Chicken,8,304.67,99d35b95-9c3c-4dcb-aeac-938db2fb6378,Chicken,467,80,13,2024-07-27
2024-02-05,30.5,13.4,Rainy,43,Wellsburgh,2024-05-23,Festival,,,,,,4a113a5d-3b67-49b7-82a1-2bcc2469f64d,Chicken,7,425.48,d738008c-5b50-4f2d-9aac-cd8cc3f52fd2,Chicken,193,85,9,2024-02-08
2024-06-17,22.5,12.3,Cloudy,37,Duncanshire,2024-03-24,Festival,Buy-One-Get-One,2024-03-22,2024-05-11,24.5,Cheese,8845d534-01a3-433f-b3bc-43d98212ad77,Milk,7,42.86,5ce314dc-8175-4862-8039-6bb659b38fe4,Milk,274,29,12,2024-10-30
2024-06-04,21.3,19.2,Snowy,58,New Ivanhaven,2024-01-23,Parade,,,,,,1cc77595-2ee4-47a4-9291-eb4d1e24c5af,Cheese,7,28.55,393ba760-002b-4a6e-b633-3b349ec8a3a7,Cheese,311,96,12,2025-01-14
2024-05-02,16.0,13.1,Rainy,94,,,,,,,,,3543cd2c-e220-41a6-b736-ded2f83c6994,Cheese,5,412.46,689310a1-6542-4d0a-ac5f-4201f99cb434,Cheese,213,15,9,2024-10-02
2024-03-18,11.4,1.3,Sunny,97,,,,Seasonal Offer,2024-03-23,2024-06-21,9.2,Eggs,f9bcfed6-52db-4001-ba5f-ad487573692b,Cheese,9,874.54,de7e18b0-b2b2-4c12-86f8-6fb7d6b58acd,Cheese,74,100,4,2024-07-07
2024-03-06,13.5,7.2,Sunny,96,,,,Buy-One-Get-One,2024-04-01,2024-06-04,21.1,Chicken,6f4846e4-fff1-4089-86b1-0bdc893cb489,Eggs,6,494.28,056b2246-80fa-4bd8-9884-77c75667e343,Eggs,72,88,2,2024-03-09
2024-03-19,20.6,19.5,Sunny,70,,,,,,,,,4bcfac7e-de26-4792-9cef-d8656aa022b3,Eggs,3,57.96,37bc07a6-a582-44ee-b54c-6770de63ae94,Eggs,162,34,3,2024-07-02
2024-06-02,22.4,16.6,Cloudy,28,Stevenhaven,2024-05-25,Festival,,,,,,b2edabca-ffa5-4c0b-88f8-ec072a0eca91,Milk,10,462.68,24c5e3a6-b472-4cb1-9dbd-c9379ced000b,Milk,348,96,9,2024-06-27
2024-06-20,23.2,18.5,Sunny,95,Lake Austin,2024-06-01,Festival,,,,,,bd0ddf16-834f-4491-b3ea-d07822e015e4,Apples,2,165.45,3b49556f-be0a-4d56-ac7b-f90a2345e497,Apples,223,63,13,2024-12-20
2024-02-12,13.8,14.5,Rainy,45,Port Rick,2024-02-17,Sports,,,,,,830f7628-7dc4-4abf-a97d-7d6fd2079b60,Bananas,7,252.23,162890fb-5728-483d-9856-02998250af8a,Bananas,332,18,10,2024-05-02
2024-03-14,12.8,7.4,Rainy,100,,,,Flash Sale,2024-05-21,2024-07-03,22.6,Milk,555318c1-9c0d-4cee-b15e-bc2fe0fcc930,Bread,7,90.74,3e946659-18e5-49d7-a873-d3914562d5b7,Bread,469,73,7,2024-11-05
2024-07-04,16.1,14.1,Rainy,92,North Moniqueborough,2024-05-02,Concert,,,,,,4e876cf5-a167-4ac9-8611-d05f52fee557,Beef,3,254.31,58db7d34-11db-4e82-b2b8-f4c7f827d2c1,Beef,74,30,13,2024-08-01
2024-02-02,20.3,6.7,Snowy,99,,,,,,,,,bedd83bc-5baa-4cfa-8284-329f403b99b3,Milk,5,362.5,bf84ee79-d84c-410f-bdff-d449ade24d66,Milk,472,38,14,2024-06-06
2024-02-06,25.4,3.4,Snowy,41,,,,Flash Sale,2024-05-15,2024-05-26,23.8,Apples,68f6bbb0-a15a-472f-9270-d97073dac00a,Milk,8,489.68,0a0adeb7-a966-4c85-8dc8-7a3d21725584,Milk,491,63,2,2024-03-06
2024-02-20,33.5,10.8,Sunny,59,,,,,,,,,e88ceb89-6a6c-4872-9aea-215e1413d42b,Milk,4,257.28,299959ba-0492-45ec-ac7f-a2ca7a288d3e,Milk,406,81,5,2024-03-21
2024-07-15,24.8,12.2,Sunny,81,,,,,,,,,eb4bcc23-fa85-45f2-b033-b48f8c29f949,Bananas,5,298.51,398244c5-9b7d-4294-a5bb-b72671b12c2b,Bananas,417,13,13,2024-09-06
2024-05-17,17.8,0.3,Snowy,69,,,,,,,,,7876c25b-a75d-4812-9c0c-7bdb964aa7b0,Chicken,7,438.75,dcc4668d-04d0-4421-b943-4e20b08b1b02,Chicken,250,91,7,2024-09-10
2024-02-11,23.0,3.6,Rainy,66,,,,,,,,,2b3ea3f0-9535-4e86-b2a0-ad312f12c40c,Bananas,8,375.48,293de289-b8c4-42ed-8198-4602928206d1,Bananas,256,15,2,2024-02-13
2024-02-18,18.8,12.9,Rainy,67,West Mary,2024-02-23,Concert,,,,,,b1448bb7-5d5d-4001-bcf9-49f783ca9c84,Apples,10,335.88,a3d2c6cc-3bbd-4a0f-af6c-10423434970c,Apples,369,71,9,2024-09-10
2024-01-16,25.5,11.4,Snowy,70,East Nicholas,2024-01-24,Sports,,,,,,257f24c4-c371-41f6-b03d-7b0101f4a07c,Bread,4,371.61,0c9da164-a5b9-4fbc-b1ce-5ea3d37073ae,Bread,389,52,2,2024-01-18
2024-06-01,33.3,8.4,Snowy,34,,,,Seasonal Offer,2024-06-19,2024-07-16,23.3,Apples,90d8737d-66bd-4f83-94ae-91a15d7e5b0b,Milk,8,620.79,a272a67b-4e4c-4a86-8dc6-301bf98626bf,Milk,189,62,8,2024-06-15
2024-01-20,22.0,5.9,Snowy,99,,,,,,,,,68921871-8593-4c07-bf70-7cf876728cb8,Eggs,1,13.18,b2bbbd0f-5d69-4f06-a39a-32d2b120b67c,Eggs,196,100,3,2024-02-07
2024-05-21,30.9,14.4,Cloudy,41,South Lindashire,2024-06-02,Festival,Discount,2024-04-20,2024-04-29,49.1,Chicken,c0285cb7-ee84-436b-907f-5c5a5c6236b5,Chicken,3,144.66,9d68e14b-d2e9-4277-9eff-6b5615e059ae,Chicken,226,37,8,2025-02-16
2024-06-05,19.7,1.0,Cloudy,39,,,,,,,,,0f8cb91c-23d9-44e6-88ab-02a38d5834b8,Cheese,5,131.03,09c8de3a-29b0-4e3d-8475-481641b40f17,Cheese,417,73,6,2025-01-26
2024-03-03,13.3,12.9,Sunny,62,Brennanland,2024-06-27,Sports,,,,,,e0b18634-f72d-4185-bd54-f46d992c9550,Bananas,1,30.73,5facb5a9-8536-4351-b496-2f62032ce585,Bananas,147,76,9,2024-04-03
2024-01-22,24.8,5.3,Snowy,41,Kennethbury,2024-04-18,Parade,Flash Sale,2024-02-21,2024-03-18,15.1,Bread,788179ae-a63b-49ef-b3f1-78f80311db02,Beef,2,133.35,3e3ef845-6f31-4c18-90ad-c4c85be26867,Beef,197,86,14,2024-06-28
2024-06-08,29.8,19.3,Rainy,95,,,,Discount,2024-02-03,2024-06-19,36.4,Beef,d7e3a7f8-c2a3-45b3-b77d-b32d14312ca7,Bread,4,252.95,048df596-937d-4566-b7ca-b5c8fa8165e5,Bread,177,41,6,2024-11-08
2024-06-19,15.2,17.4,Snowy,96,,,,,,,,,d6c4ec44-d3a6-4563-9d95-6653402d3bdc,Milk,10,424.79,c215e3c3-49d3-4d72-ba28-c92db06e597d,Milk,436,98,4,2024-10-30
2024-07-17,22.8,15.1,Cloudy,65,,,,,,,,,f212eeed-a966-43a4-80cc-fd96b2b9488b,Chicken,5,90.57,60ea8392-6d38-46ce-8c28-c11e2268fdfe,Chicken,213,65,12,2024-12-14
2024-02-17,22.8,12.2,Rainy,66,New Natalie,2024-01-05,Festival,,,,,,ce87c961-052f-4d92-903c-ce3f9771d2cc,Bananas,6,524.45,488d81a7-f0f7-4dca-977e-d99a007edefb,Bananas,110,52,1,2024-03-29
2024-05-07,10.9,0.5,Sunny,55,,,,,,,,,c4dff125-d87b-476f-96e4-c42fd5707efe,Apples,5,333.11,cfec0929-318b-4f47-90f3-71825531024d,Apples,84,92,3,2024-08-29
2024-01-01,21.2,9.4,Sunny,65,,,,,,,,,14b1bbea-0e5e-48b7-ab8f-5c6c12917312,Milk,1,65.92,c3d72b84-d0cf-4c83-b7d3-a680df88e984,Milk,143,40,4,2024-08-12
2024-06-21,18.7,7.9,Rainy,92,Lake Shawnfurt,2024-01-09,Festival,,,,,,74d50dbe-8470-4692-a7c6-c1b2bb47d472,Chicken,5,38.72,aa44c204-b40d-455e-9e0d-7856f28eec2a,Chicken,333,67,9,2024-07-28
2024-01-13,32.6,2.4,Rainy,53,Dianeburgh,2024-06-21,Concert,,,,,,68d3df9b-42f3-4414-a002-1cd61aa32daf,Bread,4,346.1,8966537a-afd3-4934-bed5-aac12cbf4a75,Bread,278,57,9,2024-06-29
2024-03-14,15.2,0.3,Cloudy,52,,,,Discount,2024-04-27,2024-05-31,44.1,Eggs,83f5cd82-0359-4cf1-a444-bcf68167ee14,Cheese,6,594.88,ecd748df-8223-4599-bbc0-322dc2f1c671,Cheese,478,81,8,2024-12-24
2024-01-13,32.3,11.4,Rainy,37,Javierborough,2024-01-28,Parade,Discount,2024-02-23,2024-06-20,40.5,Milk,1cca49f9-4ae8-475d-8314-e290ff7c5233,Bananas,8,325.89,12e46af7-b39d-43be-a6fe-840574164c52,Bananas,52,82,6,2024-03-14
2024-06-19,14.7,9.6,Rainy,83,,,,Buy-One-Get-One,2024-01-14,2024-03-27,23.8,Cheese,660f6e65-a32d-4578-835c-c908916dca04,Bread,2,117.64,a27a0152-1592-4dbb-81b4-6d60019a1c9c,Bread,378,80,2,2024-07-21
2024-07-10,31.3,13.1,Sunny,31,,,,Seasonal Offer,2024-05-14,2024-07-19,20.5,Cheese,f61d9e98-8e9c-44ab-a34a-3b1245b95311,Chicken,10,291.81,fb8bccae-e406-44c5-a2b7-23e42ab5474c,Chicken,410,57,1,2024-08-28
2024-06-04,22.8,10.8,Rainy,72,,,,,,,,,ded6687a-0d93-44dd-a1c9-e605bf419e1e,Cheese,5,293.03,06a9c976-c04c-485b-b398-5760eee93027,Cheese,151,19,12,2024-08-07
